cdays,close,date,exchange_symbol,high,low,name,open,volume
1,5850,2016-11-08,KRX,6130,5850,A Self-Administered Real Este Inv Tr Inc,6120,40137
1,5680,2016-11-09,KRX,5890,5330,A Self-Administered Real Este Inv Tr Inc,5850,48328
1,5600,2016-11-10,KRX,5990,5500,A Self-Administered Real Este Inv Tr Inc,5680,63332
1,5880,2016-11-11,KRX,5920,5600,A Self-Administered Real Este Inv Tr Inc,5600,42124
1,5790,2016-11-14,KRX,6030,5700,A Self-Administered Real Este Inv Tr Inc,5990,52500
1,5730,2016-11-15,KRX,5840,5650,A Self-Administered Real Este Inv Tr Inc,5710,36208
1,5820,2016-11-16,KRX,5840,5690,A Self-Administered Real Este Inv Tr Inc,5800,11860
1,5750,2016-11-17,KRX,5890,5700,A Self-Administered Real Este Inv Tr Inc,5820,34179
1,5760,2016-11-18,KRX,5800,5700,A Self-Administered Real Este Inv Tr Inc,5790,13097
1,5740,2016-11-21,KRX,5800,5610,A Self-Administered Real Este Inv Tr Inc,5760,19305
1,5740,2016-11-22,KRX,5790,5700,A Self-Administered Real Este Inv Tr Inc,5760,23692
1,5680,2016-11-23,KRX,5790,5680,A Self-Administered Real Este Inv Tr Inc,5750,30238
1,5730,2016-11-24,KRX,5760,5630,A Self-Administered Real Este Inv Tr Inc,5640,12595
1,5750,2016-11-25,KRX,5780,5610,A Self-Administered Real Este Inv Tr Inc,5770,12749
1,5830,2016-11-28,KRX,5950,5650,A Self-Administered Real Este Inv Tr Inc,5750,25910
1,5990,2016-11-29,KRX,5990,5720,A Self-Administered Real Este Inv Tr Inc,5820,38296
1,5960,2016-11-30,KRX,6000,5580,A Self-Administered Real Este Inv Tr Inc,6000,20273
1,5950,2016-12-01,KRX,5990,5800,A Self-Administered Real Este Inv Tr Inc,5980,8212
1,5930,2016-12-02,KRX,5970,5820,A Self-Administered Real Este Inv Tr Inc,5960,17242
1,5940,2016-12-05,KRX,5940,5800,A Self-Administered Real Este Inv Tr Inc,5850,12102
1,5960,2016-12-06,KRX,6060,5840,A Self-Administered Real Este Inv Tr Inc,5990,18266
1,5880,2016-12-07,KRX,5960,5750,A Self-Administered Real Este Inv Tr Inc,5840,18491
1,5980,2016-12-08,KRX,6000,5880,A Self-Administered Real Este Inv Tr Inc,5960,22560
1,6000,2016-12-09,KRX,6050,5870,A Self-Administered Real Este Inv Tr Inc,6050,11133
1,5920,2016-12-12,KRX,6000,5810,A Self-Administered Real Este Inv Tr Inc,5930,25962
1,5940,2016-12-13,KRX,5990,5900,A Self-Administered Real Este Inv Tr Inc,5990,6313
1,5960,2016-12-14,KRX,5990,5840,A Self-Administered Real Este Inv Tr Inc,5940,32776
1,6030,2016-12-15,KRX,6040,5860,A Self-Administered Real Este Inv Tr Inc,6000,14221
1,6070,2016-12-16,KRX,6080,5970,A Self-Administered Real Este Inv Tr Inc,6040,27800
1,5970,2016-12-19,KRX,6090,5970,A Self-Administered Real Este Inv Tr Inc,6030,30765
1,6520,2016-12-20,KRX,6770,5970,A Self-Administered Real Este Inv Tr Inc,6050,682370
1,6540,2016-12-21,KRX,6640,6410,A Self-Administered Real Este Inv Tr Inc,6550,234420
1,6500,2016-12-22,KRX,6590,6450,A Self-Administered Real Este Inv Tr Inc,6460,87004
1,6590,2016-12-23,KRX,6620,6490,A Self-Administered Real Este Inv Tr Inc,6520,164001
1,6620,2016-12-26,KRX,6660,6540,A Self-Administered Real Este Inv Tr Inc,6590,165891
1,6810,2016-12-27,KRX,6820,6600,A Self-Administered Real Este Inv Tr Inc,6690,292028
1,5940,2016-12-28,KRX,6200,5940,A Self-Administered Real Este Inv Tr Inc,6200,210005
1,5830,2016-12-29,KRX,5860,5680,A Self-Administered Real Este Inv Tr Inc,5860,111976
1,5820,2017-01-02,KRX,5840,5690,A Self-Administered Real Este Inv Tr Inc,5760,47731
1,5800,2017-01-03,KRX,5880,5760,A Self-Administered Real Este Inv Tr Inc,5880,25514
1,5770,2017-01-04,KRX,5800,5670,A Self-Administered Real Este Inv Tr Inc,5800,55415
1,5720,2017-01-05,KRX,5790,5670,A Self-Administered Real Este Inv Tr Inc,5770,43245
1,5750,2017-01-06,KRX,5810,5720,A Self-Administered Real Este Inv Tr Inc,5720,37388
1,5670,2017-01-09,KRX,5730,5670,A Self-Administered Real Este Inv Tr Inc,5730,28562
1,5680,2017-01-10,KRX,5700,5550,A Self-Administered Real Este Inv Tr Inc,5670,36591
1,5710,2017-01-11,KRX,5710,5630,A Self-Administered Real Este Inv Tr Inc,5690,12945
1,5700,2017-01-12,KRX,5740,5640,A Self-Administered Real Este Inv Tr Inc,5660,9448
1,5700,2017-01-13,KRX,5730,5640,A Self-Administered Real Este Inv Tr Inc,5730,13650
1,5650,2017-01-16,KRX,5700,5620,A Self-Administered Real Este Inv Tr Inc,5700,15820
1,5670,2017-01-17,KRX,5720,5630,A Self-Administered Real Este Inv Tr Inc,5660,17385
1,5670,2017-01-18,KRX,5730,5570,A Self-Administered Real Este Inv Tr Inc,5730,8249
1,5580,2017-01-19,KRX,5670,5550,A Self-Administered Real Este Inv Tr Inc,5670,22296
1,5570,2017-01-20,KRX,5640,5550,A Self-Administered Real Este Inv Tr Inc,5640,14523
1,5540,2017-01-23,KRX,5660,5540,A Self-Administered Real Este Inv Tr Inc,5660,17628
1,5450,2017-01-24,KRX,5570,5400,A Self-Administered Real Este Inv Tr Inc,5500,28621
1,5360,2017-01-25,KRX,5600,5360,A Self-Administered Real Este Inv Tr Inc,5510,13942
1,5440,2017-01-26,KRX,5500,5300,A Self-Administered Real Este Inv Tr Inc,5350,5044
1,5380,2017-01-31,KRX,5490,5290,A Self-Administered Real Este Inv Tr Inc,5440,14096
1,5400,2017-02-01,KRX,5450,5300,A Self-Administered Real Este Inv Tr Inc,5380,21429
1,5380,2017-02-02,KRX,5460,5210,A Self-Administered Real Este Inv Tr Inc,5410,30460
1,5370,2017-02-03,KRX,5400,5300,A Self-Administered Real Este Inv Tr Inc,5300,14237
1,5300,2017-02-06,KRX,5370,5260,A Self-Administered Real Este Inv Tr Inc,5370,16344
1,5270,2017-02-07,KRX,5450,5220,A Self-Administered Real Este Inv Tr Inc,5240,14109
1,5200,2017-02-08,KRX,5320,5180,A Self-Administered Real Este Inv Tr Inc,5320,16822
1,5200,2017-02-09,KRX,5280,5170,A Self-Administered Real Este Inv Tr Inc,5240,16778
1,5180,2017-02-10,KRX,5260,5130,A Self-Administered Real Este Inv Tr Inc,5180,16355
1,5210,2017-02-13,KRX,5230,5100,A Self-Administered Real Este Inv Tr Inc,5140,6781
1,5220,2017-02-14,KRX,5280,5190,A Self-Administered Real Este Inv Tr Inc,5240,5382
1,5240,2017-02-15,KRX,5300,5220,A Self-Administered Real Este Inv Tr Inc,5290,14847
1,5290,2017-02-16,KRX,5300,5190,A Self-Administered Real Este Inv Tr Inc,5300,20961
1,5300,2017-02-17,KRX,5330,5220,A Self-Administered Real Este Inv Tr Inc,5290,10703
1,5300,2017-02-20,KRX,5350,5270,A Self-Administered Real Este Inv Tr Inc,5270,11283
1,5300,2017-02-21,KRX,5360,5270,A Self-Administered Real Este Inv Tr Inc,5340,10293
1,5340,2017-02-22,KRX,5380,5250,A Self-Administered Real Este Inv Tr Inc,5300,12451
1,5320,2017-02-23,KRX,5340,5250,A Self-Administered Real Este Inv Tr Inc,5340,5550
1,5290,2017-02-24,KRX,5330,5260,A Self-Administered Real Este Inv Tr Inc,5320,5765
1,5330,2017-02-27,KRX,5350,5280,A Self-Administered Real Este Inv Tr Inc,5330,8849
1,5340,2017-02-28,KRX,5350,5300,A Self-Administered Real Este Inv Tr Inc,5330,9145
1,5350,2017-03-02,KRX,5430,5270,A Self-Administered Real Este Inv Tr Inc,5430,6354
1,5300,2017-03-03,KRX,5350,5080,A Self-Administered Real Este Inv Tr Inc,5290,11461
1,5320,2017-03-06,KRX,5330,5200,A Self-Administered Real Este Inv Tr Inc,5290,8296
1,5330,2017-03-07,KRX,5350,5250,A Self-Administered Real Este Inv Tr Inc,5320,14211
1,5290,2017-03-08,KRX,5330,5260,A Self-Administered Real Este Inv Tr Inc,5300,11383
1,5330,2017-03-09,KRX,5380,5310,A Self-Administered Real Este Inv Tr Inc,5350,12567
1,5310,2017-03-10,KRX,5340,5260,A Self-Administered Real Este Inv Tr Inc,5330,14404
1,5300,2017-03-13,KRX,5410,5280,A Self-Administered Real Este Inv Tr Inc,5410,6933
1,5400,2017-03-14,KRX,5490,5320,A Self-Administered Real Este Inv Tr Inc,5360,33825
1,5340,2017-03-15,KRX,5450,5340,A Self-Administered Real Este Inv Tr Inc,5450,13128
1,5350,2017-03-16,KRX,5700,5120,A Self-Administered Real Este Inv Tr Inc,5300,144375
1,5320,2017-03-17,KRX,5410,5290,A Self-Administered Real Este Inv Tr Inc,5410,22548
1,5320,2017-03-20,KRX,5370,5290,A Self-Administered Real Este Inv Tr Inc,5320,13035
1,5330,2017-03-21,KRX,5380,5260,A Self-Administered Real Este Inv Tr Inc,5380,18770
1,5290,2017-03-22,KRX,5360,5290,A Self-Administered Real Este Inv Tr Inc,5350,7341
1,5250,2017-03-23,KRX,5340,5210,A Self-Administered Real Este Inv Tr Inc,5340,27105
1,5180,2017-03-24,KRX,5270,5180,A Self-Administered Real Este Inv Tr Inc,5250,43581
1,5210,2017-03-27,KRX,5240,5170,A Self-Administered Real Este Inv Tr Inc,5170,12350
1,5220,2017-03-28,KRX,5240,5180,A Self-Administered Real Este Inv Tr Inc,5230,13980
1,5290,2017-03-29,KRX,5340,5230,A Self-Administered Real Este Inv Tr Inc,5270,25544
1,5290,2017-03-30,KRX,5370,5240,A Self-Administered Real Este Inv Tr Inc,5340,10669
1,5290,2017-03-31,KRX,5350,5260,A Self-Administered Real Este Inv Tr Inc,5330,19748
1,5390,2017-04-03,KRX,5410,5340,A Self-Administered Real Este Inv Tr Inc,5400,25966
1,5380,2017-04-04,KRX,5400,5330,A Self-Administered Real Este Inv Tr Inc,5400,11252
1,5370,2017-04-05,KRX,5430,5340,A Self-Administered Real Este Inv Tr Inc,5430,11221
1,5290,2017-04-06,KRX,5370,5170,A Self-Administered Real Este Inv Tr Inc,5370,22896
1,5250,2017-04-07,KRX,5340,5220,A Self-Administered Real Este Inv Tr Inc,5330,24357
1,5300,2017-04-10,KRX,5500,5200,A Self-Administered Real Este Inv Tr Inc,5290,108090
1,5260,2017-04-11,KRX,5350,5230,A Self-Administered Real Este Inv Tr Inc,5300,11856
1,5310,2017-04-12,KRX,5330,5270,A Self-Administered Real Este Inv Tr Inc,5290,15255
1,5320,2017-04-13,KRX,5380,5300,A Self-Administered Real Este Inv Tr Inc,5340,8736
1,5320,2017-04-14,KRX,5350,5280,A Self-Administered Real Este Inv Tr Inc,5320,10260
1,5350,2017-04-17,KRX,5360,5310,A Self-Administered Real Este Inv Tr Inc,5320,14873
1,5390,2017-04-18,KRX,5400,5320,A Self-Administered Real Este Inv Tr Inc,5350,8239
1,5530,2017-04-19,KRX,5560,5360,A Self-Administered Real Este Inv Tr Inc,5390,52279
1,5510,2017-04-20,KRX,5630,5450,A Self-Administered Real Este Inv Tr Inc,5630,12975
1,5520,2017-04-21,KRX,5560,5430,A Self-Administered Real Este Inv Tr Inc,5560,23141
1,5520,2017-04-24,KRX,5600,5480,A Self-Administered Real Este Inv Tr Inc,5550,21416
1,5640,2017-04-25,KRX,5650,5560,A Self-Administered Real Este Inv Tr Inc,5560,37048
1,5700,2017-04-26,KRX,5750,5660,A Self-Administered Real Este Inv Tr Inc,5690,36214
